team,name,role,age,batting_style,bowling_style,image_url
Australia,Josh Hazlewood,Bowler,33y 114d,Left hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386300/386321.5.png"
Australia,Mitchell Starc,Bowler,34y 92d,Left hand Bat,Left arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386300/386322.5.png"
Australia,Adam Zampa,Bowler,32y 31d,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321549.1.png"
Bangladesh,Najmul Hossain Shanto,Top order Batter,25y 263d,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323100/323155.1.png"
Bangladesh,Jaker Ali,Batter,26y 82d,Right hand Bat,N/A,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389500/389548.5.png"
Bangladesh,Litton Das,Wicketkeeper Batter,29y 214d,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319727.1.png"
Bangladesh,Tanzid Hasan,Opening Batter,23y 165d,Left hand Bat,N/A,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/368000/368062.1.png"
Bangladesh,Towhid Hridoy,Top order Batter,23y 162d,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/380200/380236.1.png"
Bangladesh,Mahedi Hasan,Allrounder,29y 154d,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/380200/380237.1.png"
Bangladesh,Mahmudullah,Allrounder,38y 100d,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382800/382810.1.png"
Bangladesh,Shakib Al Hasan,Allrounder,37y 51d,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316581.1.png"
Bangladesh,Soumya Sarkar,Batting Allrounder,31y 79d,Left hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385800/385821.1.png"
Bangladesh,Taskin Ahmed,Bowler,29y 41d,Left hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316700/316703.1.png"
Bangladesh,Mustafizur Rahman,Bowler,28y 251d,Left hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319734.3.png"
Bangladesh,Rishad Hossain,Bowler,21y 304d,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382800/382809.1.png"
Bangladesh,Shoriful Islam,Bowler,22y 346d,Left hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323100/323175.1.png"
Bangladesh,Tanvir Islam,Bowler,27y 202d,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390500/390548.2.png"
Bangladesh,Tanzim Hasan Sakib,Bowler,21y 207d,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382800/382811.1.png"
Canada,Navneet Dhaliwal,Middle order Batter,35y 205d,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321200/321280.1.png"
Canada,Aaron Johnson,Batter,33y 47d,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381700/381780.1.jpg"
Canada,Shreyas Movva,Wicketkeeper Batter,30y 241d,Right hand Bat,N/A,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381700/381793.1.jpg"
Canada,Ravinderpal Singh,Batter,35y 201d,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381700/381795.1.jpg"
Canada,Saad Bin Zafar,Allrounder,37y 174d,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321200/321289.1.png"
Canada,Dilpreet Bajwa,Allrounder,21y 97d,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381700/381797.1.jpg"
Canada,Junaid Siddiqui,Allrounder,39y 38d,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386600/386653.5.png"
